post_id,impressions,reach,reactions,comments,reposts,clicks,engagement_rate,metrics_updated_at,recorded
6aa9e856c9dce8b453147615,156,69,4,3,0,,7.69,2026-09-20T17:27:48Z,2026-09-21
6aa9e85fce2285243e070b9c,204,116,3,0,0,,4.41,2026-09-20T17:27:48Z,2026-09-21
6aa9e866ce2285243e070bda,45,18,2,0,0,,6.67,2026-09-20T17:27:48Z,2026-09-21
6aaad22c0ef3cc67c26e2004,97,53,1,1,0,,5.15,2026-09-20T17:27:48Z,2026-09-21
6aa9f7f0dfcd8cd99b813d2c,152,90,2,1,1,,2.63,2026-09-20T17:27:48Z,2026-09-21
6aa9f7f7dfcd8cd99b813ef0,86,44,0,0,0,,8.14,2026-09-20T17:27:48Z,2026-09-21
6aaad1fa0ef3cc67c26e164c,36,20,1,1,0,,25.00,2026-09-20T17:27:48Z,2026-09-21
6aa9f806c9dce8b45315d6b3,109,50,1,0,0,,5.50,2026-09-20T17:27:48Z,2026-09-21
